year,ProdWage,UnskillWage,Population,GDPpc,RelWage,Urbanization,Age20_29,RelDebt,Distrust,elite,epsilon,PSI,RelWage1,RelWage2
1946,13.43105263,380.07,7517981.0,17600.0,1.1847335063816022,0.683587886,0.161851965,2.87,0.51,0.5352250378015974,2.33014695312484,0.03139762848174105,1.2130145898935623,1.1564524228696422
1947,14.75736842,379.66,7637963.0,16900.0,1.2955290342885653,0.687069737,0.159113104,3.15,0.51,0.519632205710116,2.073896972638912,0.033966377310265056,1.3880044434735463,1.2030536251035842
1948,14.20052632,375.52,7792465.0,18000.0,1.1856127346105927,0.701351528,0.15824261,3.5,0.51,0.4968207498131933,2.5075603085317266,0.03310570867535546,1.2540087805536384,1.1172166886675468
1949,13.73921053,372.1,8045570.0,18500.0,1.1288009454115584,0.71563332,0.157962705,3.85,0.51,0.4811653229446926,2.769766853566795,0.034159363001292076,1.180480157305127,1.0771217335179897
1950,14.94447368,429.9,8307481.0,19300.0,1.2118329103962755,0.729915112,0.158700333,4.2,0.51,0.46975490147622034,2.566652747678849,0.037474092298455025,1.2308126662518613,1.1928531545406895
1951,14.73552632,444.4,8527907.0,19800.0,1.1924527366507158,0.744196903,0.156826288,5.27,0.51,0.4522745286806833,2.7314041119035286,0.04355745623705607,1.1829573953783143,1.201948077923117
1952,14.11657895,437.86,8739569.0,19900.0,1.1529412599867594,0.758478695,0.153051026,5.5,0.51,0.43613529475253077,2.9710669129786256,0.04145855077112408,1.1275739303435013,1.1783085896300176
1953,13.74868421,428.12,8902686.0,19200.0,1.1661636634219166,0.772760487,0.148168766,6.28,0.51,0.42286998234723827,3.0164358797225646,0.04408437071952378,1.138226125295771,1.194101201548062
1954,14.61815789,421.53,9089936.0,20100.0,1.1395480168892802,0.787042278,0.143092317,6.46,0.51,0.40862123934196093,3.22126046196663,0.041302804079131714,1.156019692814474,1.1230763409640863
1955,14.39684211,415.15,9311825.0,20800.0,1.0845283560479269,0.791669057,0.13887718,6.5,0.51,0.39637533001466324,3.5331202517963627,0.03770208588922019,1.100202299265494,1.0688544128303594
1956,14.06078947,409.47,9530871.0,21300.0,1.0393905586712997,0.796295835,0.135926716,6.7,0.51,0.38858131010024144,3.7816826537308508,0.03656304075170826,1.0492977549095104,1.029483362433089
1957,14.09473684,414.24,9744087.0,21300.0,1.0466535650070794,0.800922614,0.133434769,7.16,0.51,0.3847915355691302,3.790053807015662,0.03785471144704884,1.0518311047759659,1.041476025238193
1958,14.20868421,419.41,9947358.0,21200.0,1.0623921974150698,0.805549393,0.130466803,7.17,0.51,0.38033413279835154,3.771169468062532,0.036482610622477554,1.065336097086909,1.0594482977432307
1959,15.41105263,434.49,10160968.0,22400.0,1.0661650839803134,0.810176171,0.128698368,7.17,0.51,0.3744613301208773,3.814900993593512,0.035102745518233155,1.093585961942386,1.0387442060182408
1960,14.85684211,418.87,10391920.0,23200.0,0.9923874403602622,0.81480295,0.1274163,7.48,0.51,0.36825543527640353,4.185665760976978,0.035111769517384,1.0179048050554287,0.9668700756650958
1961,14.99315789,427.31,10642654.0,23300.0,1.0024771521461728,0.819429728,0.126688324,7.7,0.51,0.3690225308008062,4.135138952880245,0.036290880030558186,1.0228355989432731,0.9821187053490724
1962,15.04131579,428.68,10846059.0,23000.0,1.0188119594787124,0.821987515,0.127124516,7.7,0.51,0.36877542769816996,4.070149950177284,0.036493285633660257,1.0395051246404345,0.9981187943169902
1963,15.33473684,425.95,11055482.0,24000.0,0.9830323803268304,0.824545301,0.12780085,7.8,0.51,0.3669289672887007,4.239798974357907,0.0369047231629552,1.0156258055954586,0.9504389550582023
1964,15.66421053,442.83,11280429.0,25200.0,0.9645480679158542,0.827103087,0.13063333,8.1,0.51,0.36865501619743846,4.296649565200205,0.03970408322422252,0.988044743776026,0.9410513920556823
1965,15.36789474,428.25,11505408.0,26200.0,0.9038440772642057,0.829660873,0.133806641,8.3,0.51,0.3723305128640534,4.503641839048524,0.042983107812981064,0.9323559084141392,0.8753322461142722
1966,15.97605263,441.52,11704843.0,26300.0,0.9322956576062761,0.832218659,0.137202866,8.5,0.51,0.3829690649279053,4.2648862600377635,0.04767517693172319,0.9655669131718317,0.8990244020407204
1967,18.28026316,426.68,11912253.0,27500.0,0.9437572513956054,0.836895141,0.142943824,8.9,0.51,0.390231175594339,4.1405870264221045,0.054224601473506516,1.0566189396959595,0.8308955630952511
1968,18.28157895,378.75,12145582.0,28400.0,0.8686969391522616,0.841571623,0.147291007,9.1,0.51,0.3961906263451782,4.3681234616600575,0.060064778911035926,1.0232081805949247,0.7141856977095986
1969,18.23447368,377.17,12407217.0,29800.0,0.8252097069568434,0.846248104,0.151160087,9.6,0.51,0.4113055709167423,4.369340561561927,0.07144315389416633,0.972625406180223,0.6777940077334638
1970,18.69105263,469.15,12663469.0,31200.0,0.8787495249314534,0.850924586,0.155042587,10.1,0.4902727273,0.43248688901923255,3.96597372572184,0.081069817905067,0.952243041545651,0.8052560083172559
1971,19.37710526,492.38,13198380.0,31800.0,0.8988755917208759,0.855601067,0.159337813,10.6,0.4705454545,0.44628495907543025,3.774368319034964,0.0894470458055692,0.9685686765188334,0.8291825069229185
1972,18.83157895,485.51,13409288.0,31700.0,0.882231138117247,0.856465178,0.161279182,11.2,0.4508181818,0.4575350596689422,3.737212282697664,0.09678358322140398,0.9442698313127222,0.8201924449217717
1973,19.01894737,507.94,13614344.0,32100.0,0.894586547791336,0.857329289,0.163501525,12.3,0.4310909091,0.4708840400885272,3.5911282330777214,0.10894420620318966,0.9417813494455368,0.8473917461371352
1974,23.40526316,699.11,13831978.0,32900.0,1.1343799164517934,0.858193399,0.164948788,14.3,0.4113636364,0.4826675229129584,2.7434647559978114,0.12914761716435674,1.1308012294530656,1.1379586034505211
1975,21.77947368,628.91,13968881.0,32800.0,1.0411371569673251,0.85905751,0.166396578,16.6,0.3916363636,0.47082141082097795,3.115447406387422,0.13489180343845283,1.0554609700594317,1.0268133438752185
1976,21.95736842,629.48,14110107.0,33300.0,1.0302085763828805,0.859921621,0.167018294,19.0,0.37190909089999996,0.46687023525375954,3.17762242033473,0.1447378249340354,1.0481047683784939,1.0123123843872674
1977,21.53736842,620.48,14281533.0,34100.0,0.9891835695446406,0.859369688,0.165324059,21.1,0.3521818182,0.4639379575504478,3.3329786004782127,0.1485648141134719,1.0039380152967634,0.9744291237925178
1978,23.16,744.52,14430830.0,34000.0,1.127708061801975,0.858817756,0.16574854,22.9,0.3324545455,0.46503142804352715,2.8694568142423265,0.155741520579726,1.0827502169676846,1.1726659066362655
